product_id,브랜드,상품명,마케팅용어(상품명 기준),계열(family),매칭유형,매칭성분수,매칭성분,최고순위(label_rank),전체성분수,농도위치(상위%)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",히알루론산 계열,정확(어근일치),3,소듐하이알루로네이트(rank15); 하이드롤라이즈드하이알루로닉애씨드(rank35); 하이드롤라이즈드소듐하이알루로네이트(rank36),15,39,38%
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",B5/판토텐산 계열,정확(어근일치),1,판테놀(rank25),25,39,64%
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",비타민C 계열,정확(어근일치),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",콜라겐 계열,정확(어근일치),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",콜라겐 계열,유연물질(관련이지만 다른 물질),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",비피다 발효물 계열,정확(어근일치),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",마데카소사이드 계열,정확(어근일치),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",마데카소사이드 계열,유연물질(관련이지만 다른 물질),1,병풀추출물(rank13),13,39,33%
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",NMN 계열,정확(어근일치),0,,,39,해당없음(0건)
p-cb5c0bb61e60,더마토리,더마토리 히알샷 베리어 B5 앰플 50ml,"히알루론산, B5",EGF 계열,정확(DB 정의문 근거),0,,,39,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,히알루론산 계열,정확(어근일치),4,소듐하이알루로네이트(rank13); 하이드롤라이즈드하이알루로닉애씨드(rank14); 하이알루로닉애씨드(rank16); 소듐하이알루로네이트크로스폴리머(rank26),13,42,31%
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,B5/판토텐산 계열,정확(어근일치),1,판테놀(rank17),17,42,40%
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,비타민C 계열,정확(어근일치),2,3-O-에틸아스코빅애씨드(rank30); 아스코빅애씨드(rank32),30,42,71%
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,콜라겐 계열,정확(어근일치),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,콜라겐 계열,유연물질(관련이지만 다른 물질),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,비피다 발효물 계열,정확(어근일치),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,마데카소사이드 계열,정확(어근일치),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,마데카소사이드 계열,유연물질(관련이지만 다른 물질),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,NMN 계열,정확(어근일치),0,,,42,해당없음(0건)
p-f809f0cf2a0f,메디힐,메디힐 비타민씨 브라이트닝 세럼 40ml,비타민C,EGF 계열,정확(DB 정의문 근거),0,,,42,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),히알루론산 계열,정확(어근일치),4,소듐하이알루로네이트(rank34); 하이알루로닉애씨드(rank39); 하이드롤라이즈드하이알루로닉애씨드(rank44); 소듐아세틸레이티드하이알루로네이트(rank50),34,56,61%
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),B5/판토텐산 계열,정확(어근일치),2,판테놀(rank7); 판토테닉애씨드(rank16),7,56,12%
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),비타민C 계열,정확(어근일치),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),콜라겐 계열,정확(어근일치),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),콜라겐 계열,유연물질(관련이지만 다른 물질),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),비피다 발효물 계열,정확(어근일치),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),마데카소사이드 계열,정확(어근일치),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),마데카소사이드 계열,유연물질(관련이지만 다른 물질),2,병풀추출물(rank33); 병풀잎추출물(rank47),33,56,59%
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),NMN 계열,정확(어근일치),0,,,56,해당없음(0건)
p-12b96e48b5ee,넘버즈인,넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,판토텐산(B5),EGF 계열,정확(DB 정의문 근거),0,,,56,해당없음(0건)
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,히알루론산 계열,정확(어근일치),2,소듐하이알루로네이트(rank13); 하이드록시프로필트라이모늄하이알루로네이트(rank42),13,45,29%
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,B5/판토텐산 계열,정확(어근일치),1,판테놀(rank8),8,45,18%
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,비타민C 계열,정확(어근일치),0,,,45,해당없음(0건)
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,콜라겐 계열,정확(어근일치),0,,,45,해당없음(0건)
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,콜라겐 계열,유연물질(관련이지만 다른 물질),2,팔미토일트라이펩타이드-5(rank38); 헥사펩타이드-9(rank45),38,45,84%
p-8d07a757af76,닥터지,닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml,히알루론산,비피다 발효물 계열,정확(어근일치),0,,,45,해당없음(0건)
